# Residuals    
# Time         	p              	sigmaxx        	sigmaxy        	sigmayy        	sigmazz        
0.005          	3.07811080e-01	3.29434720e-01	1.00000000e+00	5.43772320e-01	0.00000000e+00
0.01           	1.98698740e-01	2.11155990e-01	4.51424770e-01	3.45470330e-01	0.00000000e+00
0.015          	4.96540110e-01	1.78981450e-01	2.61300860e-01	3.39389670e-01	0.00000000e+00
0.02           	2.42517790e-01	1.50171870e-01	1.84835180e-01	2.17845540e-01	0.00000000e+00
0.025          	1.41782440e-01	1.28306930e-01	1.42627250e-01	1.96060020e-01	0.00000000e+00
0.03           	1.89636430e-01	1.11575000e-01	1.15845880e-01	1.20278760e-01	0.00000000e+00
0.035          	1.92914730e-01	9.84623650e-02	9.74540050e-02	1.36816010e-01	0.00000000e+00
0.04           	6.70004790e-01	8.81370840e-02	8.40621190e-02	7.21868000e-02	0.00000000e+00
0.045          	1.13145900e-01	7.98338290e-02	7.38883070e-02	1.03467530e-01	0.00000000e+00
0.05           	1.57344830e-01	7.29266570e-02	6.59407080e-02	9.93720350e-02	0.00000000e+00
0.055          	5.24629640e-01	6.71179490e-02	5.95509250e-02	8.28123480e-02	0.00000000e+00
0.06           	2.25707620e-01	6.22136110e-02	5.43080610e-02	8.37311510e-02	0.00000000e+00
0.065          	2.20253530e-01	5.80208610e-02	4.99420290e-02	8.04319420e-02	0.00000000e+00
0.07           	3.86391120e-01	5.43936460e-02	4.62586130e-02	5.88759550e-02	0.00000000e+00
0.075          	1.33777270e-01	5.11899030e-02	4.30931130e-02	5.02121330e-02	0.00000000e+00
0.08           	1.94152180e-01	4.83535010e-02	4.03484070e-02	7.34559000e-02	0.00000000e+00
0.085          	1.83747870e-01	4.58273920e-02	3.79505880e-02	4.81308950e-02	0.00000000e+00
0.09           	2.21245760e-01	4.35729830e-02	3.58384020e-02	4.83490870e-02	0.00000000e+00
0.095          	1.40166340e-01	4.15487410e-02	3.39641090e-02	4.25524110e-02	0.00000000e+00
0.1            	1.33515430e-01	3.97211210e-02	3.22888590e-02	5.45529560e-02	0.00000000e+00
0.105          	1.05277440e-01	3.80472540e-02	3.07706370e-02	3.99485760e-02	0.00000000e+00
0.11           	2.96117710e-01	3.65170480e-02	2.93973530e-02	5.00301560e-02	0.00000000e+00
0.115          	5.78059880e-01	3.51167570e-02	2.81509140e-02	3.45731590e-02	0.00000000e+00
0.12           	3.82504010e-01	3.38194820e-02	2.70146520e-02	3.22492200e-02	0.00000000e+00
0.125          	2.29939200e-01	3.26212280e-02	2.59746820e-02	3.69525750e-02	0.00000000e+00
0.13           	3.16356590e-01	3.15132810e-02	2.50193430e-02	2.93080410e-02	0.00000000e+00
0.135          	2.37699090e-01	3.04857650e-02	2.41387750e-02	4.57795070e-02	0.00000000e+00
0.14           	2.65238430e-01	2.95301890e-02	2.33241920e-02	4.39925570e-02	0.00000000e+00
0.145          	1.20876400e-01	2.86344770e-02	2.25638870e-02	4.07780960e-02	0.00000000e+00
0.15           	1.77215310e-01	2.77917450e-02	2.18570060e-02	3.28770270e-02	0.00000000e+00
0.155          	1.34048930e-01	2.70024650e-02	2.11981460e-02	3.55422020e-02	0.00000000e+00
0.16           	1.91666850e-01	2.62616860e-02	2.05826070e-02	3.05643010e-02	0.00000000e+00
0.165          	2.31951330e-01	2.55650510e-02	2.00036440e-02	2.77835630e-02	0.00000000e+00
0.17           	1.55303620e-01	2.49067150e-02	1.94596730e-02	3.41783480e-02	0.00000000e+00
0.175          	1.32968560e-01	2.42805760e-02	1.89483310e-02	3.20275790e-02	0.00000000e+00
0.18           	3.53973450e-01	2.36887180e-02	1.84667870e-02	2.84178410e-02	0.00000000e+00
0.185          	1.84274970e-01	2.31283900e-02	1.80125290e-02	1.94357210e-02	0.00000000e+00
0.19           	2.86150310e-01	2.25971280e-02	1.75833190e-02	3.13367510e-02	0.00000000e+00
0.195          	3.04329670e-01	2.20927190e-02	1.71777570e-02	2.63949640e-02	0.00000000e+00
0.2            	1.83601860e-01	2.16104100e-02	1.67916970e-02	2.37164840e-02	0.00000000e+00
0.205          	2.66239060e-01	2.11485110e-02	1.64245310e-02	2.06957390e-02	0.00000000e+00
